time,open,high,low,close,volume,turnover
2020-12-19 20:00:00+00:00,23826,24093,23744.5,23848.5,2828.048,67444702.728
2020-12-20 00:00:00+00:00,23848.5,23858,23201.5,23351,4846.338,113166838.638
2020-12-20 04:00:00+00:00,23351,23648,23084.5,23625,2064.427,48772087.875
2020-12-20 08:00:00+00:00,23625,23795.5,23388.5,23565,2393.911,56412512.715
2020-12-20 12:00:00+00:00,23565,23931,23288,23890,3410.15,81468483.5
2020-12-20 16:00:00+00:00,23890,24025,23659.5,23968,3290.022,78855247.296
2020-12-20 20:00:00+00:00,23968,24344,23130,23468.5,9624.841,225880581.0085
2020-12-21 00:00:00+00:00,23468.5,24023,23306.5,23956.5,3871.191,92740187.1915
2020-12-21 04:00:00+00:00,23956.5,24124.5,23707,23973,3927.895,94163426.835
2020-12-21 08:00:00+00:00,23973,24082.5,22380,22667,14416.124,326770282.708
2020-12-21 12:00:00+00:00,22667,23178.5,21959,23072.5,8458.488,195158464.38
2020-12-21 16:00:00+00:00,23072.5,23300,22644,22810,5520.128,125914119.68
2020-12-21 20:00:00+00:00,22810,23238.5,22717.5,22730.5,3277.887,74508010.4535
2020-12-22 00:00:00+00:00,22730.5,22971,22485.5,22853,3604.183,82366394.099
2020-12-22 04:00:00+00:00,22853,23070,22514.5,22665,3164.82,71730645.3
2020-12-22 08:00:00+00:00,22665,23152.5,22379,23116,4413.955,102032983.78
2020-12-22 12:00:00+00:00,23116,23641.5,23062,23368,5816.95,135930487.6
2020-12-22 16:00:00+00:00,23368,23530,23243.5,23407,2831.567,66278488.769
2020-12-22 20:00:00+00:00,23407,23849,23290,23837,2715.256,64723557.272
2020-12-23 00:00:00+00:00,23837,24064,23566.5,23713,3199.024,75858456.112
2020-12-23 04:00:00+00:00,23713,23713,23343.5,23581,2662.122,62775498.882
2020-12-23 08:00:00+00:00,23581,23735,22822.5,23087,8946.068,206537871.916
2020-12-23 12:00:00+00:00,23087,24192,22953.5,23484.5,10741.195,252251593.9775
2020-12-23 16:00:00+00:00,23484.5,23677.5,23373.5,23550,2337.352,55044639.6
2020-12-23 20:00:00+00:00,23550,23617,22606,23230.5,7068.16,164196890.88
2020-12-24 00:00:00+00:00,23230.5,23241,22702.5,22875.5,5502.496,125872347.248
2020-12-24 04:00:00+00:00,22875.5,23200,22788.5,23165,2059.182,47700951.03
2020-12-24 08:00:00+00:00,23165,23487,23067,23221,3307.289,76798557.869
2020-12-24 12:00:00+00:00,23221,23423,23026.5,23246,2196.581,51061721.926
2020-12-24 16:00:00+00:00,23246,23464.5,23128.5,23294,1503.382,35019780.308
2020-12-24 20:00:00+00:00,23294,23778,23272,23724.5,2561.63,60773390.935
2020-12-25 00:00:00+00:00,23724.5,23812.5,23460,23490,1852.199,43508154.51
2020-12-25 04:00:00+00:00,23490,23682,23470.5,23652.5,1494.258,35342937.345
2020-12-25 08:00:00+00:00,23652.5,24698.5,23602,24594.5,6448.604,158600191.078
2020-12-25 12:00:00+00:00,24594.5,24654.5,23835.5,24064.5,5892.568,141801702.636
2020-12-25 16:00:00+00:00,24064.5,24527,24009,24451,2839.849,69437147.899
2020-12-25 20:00:00+00:00,24451,24809,24232.5,24713.5,3742.381,92487332.8435
2020-12-26 00:00:00+00:00,24713.5,25064.5,24521,24932,3726.187,92901294.284
2020-12-26 04:00:00+00:00,24932,24938,24676,24798,2018.073,50044174.254
2020-12-26 08:00:00+00:00,24798,25009,24587,24866.5,1997.842,49679338.093
2020-12-26 12:00:00+00:00,24866.5,25691,24759,25618.5,4447.028,113926186.818
2020-12-26 16:00:00+00:00,25618.5,26044,25585.5,25962,4955.568,128656456.416
2020-12-26 20:00:00+00:00,25962,26919,25852,26522,7623.188,202182192.136
2020-12-27 00:00:00+00:00,26522,27023.5,26500,26621.5,5125.33,136443972.595
2020-12-27 04:00:00+00:00,26621.5,27827.5,26621.5,27680.5,4209.606,116523998.883
2020-12-27 08:00:00+00:00,27680.5,28468,27085,27696.5,8796.484,243631819.106
2020-12-27 12:00:00+00:00,27696.5,27820.5,26666,27410,9264.26,253933366.6
2020-12-27 16:00:00+00:00,27410,27524,26590.5,27106.5,6010.003,162910146.3195
2020-12-27 20:00:00+00:00,27106.5,27106.5,25865,26266.5,6746.473,177206233.0545
2020-12-28 00:00:00+00:00,26266.5,27373,26101,27291,4000.669,109182257.679
2020-12-28 04:00:00+00:00,27291,27325,26862.5,27031,1845.766,49892900.746
2020-12-28 08:00:00+00:00,27031,27121,26596.5,26877.5,2659.073,71469234.5575
2020-12-28 12:00:00+00:00,26877.5,27514,26726,26945.5,3833.961,103307996.1255
2020-12-28 16:00:00+00:00,26945.5,27273,26755,27046,2354.332,63675263.272
2020-12-28 20:00:00+00:00,27046,27154,26438.5,27087.5,3703.8,100326682.5
2020-12-29 00:00:00+00:00,27087.5,27113.5,26473.5,26479.5,2369.966,62755514.697
2020-12-29 04:00:00+00:00,26479.5,26610.5,25930,26414,4433.094,117095744.916
2020-12-29 08:00:00+00:00,26414,26914,26414,26886,3971.588,106780114.968
2020-12-29 12:00:00+00:00,26886,27108,26480,26633.5,3619.643,96403761.8405
2020-12-29 16:00:00+00:00,26633.5,26956,26272.5,26937,2724.253,73383203.061
2020-12-29 20:00:00+00:00,26937,27427.5,26808.5,27401,3477.645,95290950.645
2020-12-30 00:00:00+00:00,27401,28280,27401,28094,3941.271,110726067.474
2020-12-30 04:00:00+00:00,28094,28633,27764,28431,4760.974,135359251.794
2020-12-30 08:00:00+00:00,28431,28615.5,27397,27877,6425.955,179136347.535
2020-12-30 12:00:00+00:00,27877,28336,27621,28171.5,3354.71,94507212.765
2020-12-30 16:00:00+00:00,28171.5,28945,27946,28799.5,4684.531,134912150.5345
2020-12-30 20:00:00+00:00,28799.5,29034,28575.5,28907,4019.743,116198710.901
2020-12-31 00:00:00+00:00,28907,29357,28198.5,29047.5,6531.701,189729584.7975
2020-12-31 04:00:00+00:00,29047.5,29339,28780,29185.5,2414.605,70471454.2275
2020-12-31 08:00:00+00:00,29185.5,29229.5,28618,28951,2845.633,82383920.983
2020-12-31 12:00:00+00:00,28951,29021.5,27841.5,28736,9062.247,260412729.792
2020-12-31 16:00:00+00:00,28736,29004.5,28327.5,28881,3579.321,103374369.801
2020-12-31 20:00:00+00:00,28881,29152,28782.5,28921.5,2536.844,73369333.746
2021-01-01 00:00:00+00:00,28921.5,29505.5,28703.5,29303,4217.396,123582354.988
2021-01-01 04:00:00+00:00,29303,29397.5,28847,29097.5,1915.312,55730790.92
2021-01-01 08:00:00+00:00,29097.5,29453.5,28903,29343.5,1977.363,58022751.1905
2021-01-01 12:00:00+00:00,29343.5,29673.5,29070,29226,3224.743,94246338.918
2021-01-01 16:00:00+00:00,29226,29374,28654,29038.5,4756.076,138109312.926
2021-01-01 20:00:00+00:00,29038.5,29330.5,28888.5,29325,3143.522,92183782.65
2021-01-02 00:00:00+00:00,29325,29468,28967.5,29357.5,2593.103,76127021.3225
2021-01-02 04:00:00+00:00,29357.5,29849,29244,29777,3880.461,115548487.197
2021-01-02 08:00:00+00:00,29777,29930,29510,29782.5,3012.005,89705038.9125
2021-01-02 12:00:00+00:00,29782.5,31850,29771,31729,12795.305,405982232.345
2021-01-02 16:00:00+00:00,31729,33450,31728.5,33105,10690.881,353921615.505
2021-01-02 20:00:00+00:00,33105,33141.5,30610,32230,14506.948,467558934.04
2021-01-03 00:00:00+00:00,32230,32935,32016.5,32638.5,3894.116,127098105.066
2021-01-03 04:00:00+00:00,32638.5,34820,32501,34494.5,7944.905,274055525.5225
2021-01-03 08:00:00+00:00,34494.5,34720.5,33545.5,34478.5,6487.044,223663546.554
2021-01-03 12:00:00+00:00,34478.5,34650,32806,33523,10455.052,350484708.196
2021-01-03 16:00:00+00:00,33523,33810,32391,32828.5,9892.697,324762403.4645
2021-01-03 20:00:00+00:00,32828.5,33915,32650,32963,7359.363,242586682.569
2021-01-04 00:00:00+00:00,32963,33558,32408,33537,3641.273,122117372.601
2021-01-04 04:00:00+00:00,33537,33616.5,31772.5,32226.5,6753.083,217628229.2995
2021-01-04 08:00:00+00:00,32226.5,32655.5,27923,30675,22688.276,695962866.3
2021-01-04 12:00:00+00:00,30675,32139.5,30409.5,31720,7688.604,243882518.88
2021-01-04 16:00:00+00:00,31720,31887,30634,31679.5,10873.944,344481108.948
2021-01-04 20:00:00+00:00,31679.5,32043.5,30906,32024,4290.603,137402270.472
2021-01-05 00:00:00+00:00,32024,32847.5,31185,31240,7408.193,231431949.32
2021-01-05 04:00:00+00:00,31240,31590.5,29905.5,30830.5,8600.516,265158208.538
2021-01-05 08:00:00+00:00,30830.5,31822,30830,31733.5,4312.304,136844498.984
2021-01-05 12:00:00+00:00,31733.5,32360,31114.5,32069,4393.849,140906343.581
2021-01-05 16:00:00+00:00,32069,34222,31762,33717.5,7698.338,259568711.515
2021-01-05 20:00:00+00:00,33717.5,34496.5,33364.5,34019.5,6969.393,237095265.1635
2021-01-06 00:00:00+00:00,34019.5,34180,33364.5,34160,3784.78,129288084.8
2021-01-06 04:00:00+00:00,34160,35867,34140,34744.5,7984.675,277423540.5375
2021-01-06 08:00:00+00:00,34744.5,35338,33623.5,35017,7452.189,260953302.213
2021-01-06 12:00:00+00:00,35017,35193,34184,34646.5,4144.391,143588642.7815
2021-01-06 16:00:00+00:00,34646.5,35763,34410,34908.5,4273.863,149194146.5355
2021-01-06 20:00:00+00:00,34908.5,37027.5,34375.5,36775.5,7802.61,286944884.055
2021-01-07 00:00:00+00:00,36775.5,37739.5,36490,37537,4718.314,177111352.618
2021-01-07 04:00:00+00:00,37537,37724.5,36702,36842,3556.512,131029015.104
2021-01-07 08:00:00+00:00,36842,38049,36301,37936,4608.302,174820544.672
2021-01-07 12:00:00+00:00,37936,39040,37609,39040,5194.863,202807451.52
2021-01-07 16:00:00+00:00,39040,40560.5,36801,39200.5,17935.488,703080097.344
2021-01-07 20:00:00+00:00,39200.5,40100,38482.5,39513,6626.583,261836174.079
2021-01-08 00:00:00+00:00,39513,39786,36524.5,38280.5,7972.431,305188644.8955
2021-01-08 04:00:00+00:00,38280.5,39068.5,37525.5,38841,2878.834,111816791.394
2021-01-08 08:00:00+00:00,38841,41555,38217,41387.5,6997.76,289619792
2021-01-08 12:00:00+00:00,41387.5,42100,39814,40908.5,9659.752,395165964.692
2021-01-08 16:00:00+00:00,40908.5,41650.5,39824,40432,5859.81,236923837.92
2021-01-08 20:00:00+00:00,40432,41014,38738,40641.5,9112.72,370354609.88
2021-01-09 00:00:00+00:00,40641.5,41040.5,39584,40287,2812.456,113305414.872
2021-01-09 04:00:00+00:00,40287,40542,38726.5,39629.5,4085.665,161912861.1175
